date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-02-01,,0.0,,6000.0,2967.842313814815,1200.0,2264.157714814815,10800.0,46694.507971,25362.3011848204,0.0,0.0,25362.3011848204,12556.397740888891,0,0,0.0,greedy
2025-02-02,,0.0,,2967.842313814815,2318.014135,1200.0,1644.7812999999987,10800.0,93532.621019,60387.6246134217,0.0,0.0,60387.6246134217,11974.549002304528,0,0,0.0,greedy
2025-02-03,,0.0,,2318.014135,1580.3923988148158,1200.0,1200.0,10800.0,89935.0039973,56968.53490554313,6.148898366665321,42.89471500585728,57011.42962054899,6342.602006625519,1,0,0.0,greedy
2025-02-04,,0.0,,1580.3923988148158,1749.5589435185198,1200.0,1572.251492592593,10800.0,88218.33987600001,55762.8223459572,0.0,0.0,55762.8223459572,2222.676070000011,0,0,0.0,greedy
2025-02-05,,0.0,,1749.5589435185198,1721.150576555559,1200.0,1265.5201765555585,10800.0,88645.605342,55891.7315605355,0.0,0.0,55891.7315605355,3351.521594897125,0,0,0.0,greedy
2025-02-06,,0.0,,1721.150576555559,2076.9519810000033,1200.0,1727.8858814814841,10800.0,92345.162106,59048.958291123,0.0,0.0,59048.958291123,7405.755776913582,0,0,0.0,greedy
2025-02-07,,0.0,,2076.9519810000033,2776.8758276296285,1200.0,2131.514129629628,10800.0,49852.825785,26778.101869377002,0.0,0.0,26778.101869377002,13882.453722942399,0,0,0.0,greedy
2025-02-08,,0.0,,2776.8758276296285,2244.753220703703,1200.0,1697.9880944444435,10800.0,42229.2723905,22433.5064505208,0.0,0.0,22433.5064505208,7920.23700290741,0,0,0.0,greedy
2025-02-09,,0.0,,2244.753220703703,1750.3807323703709,1200.0,1500.983038074074,10800.0,88952.65902316,56634.43908200551,0.0,0.0,56634.43908200551,5758.7720534485725,0,0,0.0,greedy
2025-02-10,,0.0,,1750.3807323703709,1846.514882111111,1200.0,1552.7095962962953,10800.0,89065.64735799999,56485.4655690221,0.0,0.0,56485.4655690221,10885.659990699594,0,0,0.0,greedy
2025-02-11,,0.0,,1846.514882111111,1342.9726237777786,1200.0,1200.0,10800.0,84774.15107600001,53177.1408091293,126.39342900000057,743.5809190397871,53920.72172816908,5966.183716049387,5,0,0.0,greedy
2025-02-12,,0.0,,1342.9726237777786,1976.5779823703688,1200.0,1603.8487962962947,10800.0,87069.13972,54796.4769738643,0.0,0.0,54796.4769738643,7014.891405769546,0,0,0.0,greedy
2025-02-13,,0.0,,1976.5779823703688,2016.7363541481477,1200.0,1548.5410148148137,10800.0,87887.1761109,55851.04323808236,0.0,0.0,55851.04323808236,12869.10022069959,0,0,0.0,greedy
2025-02-14,,0.0,,2016.7363541481477,2505.371109703703,1200.0,1976.097903703703,10800.0,41060.161797,21929.9475996419,0.0,0.0,21929.9475996419,7366.819811444444,0,0,0.0,greedy
2025-02-15,,0.0,,2505.371109703703,2110.9881943703704,1200.0,1812.0140148148143,10800.0,39604.8892626,21145.69199385002,0.0,0.0,21145.69199385002,7570.804198361319,0,0,0.0,greedy
2025-02-16,,0.0,,2110.9881943703704,1839.9618525185206,1200.0,1467.119222222224,10800.0,84732.26830999998,53396.8901552967,28.319375000000036,128.83899656250017,53525.7291518592,5535.853306362141,1,0,0.0,greedy
2025-02-17,,0.0,,1839.9618525185206,1718.4671650740754,1200.0,1376.5928555555565,10800.0,84111.2712304,52764.96499055356,0.0,0.0,52764.96499055356,9415.206469881496,0,0,0.0,greedy
2025-02-18,,0.0,,1718.4671650740754,1603.3932757037028,1200.0,1332.7489937037021,10800.0,80914.67934999999,50406.2146808008,34.206666666666706,155.62323000000018,50561.837910800794,5004.428753246919,1,0,0.0,greedy
2025-02-19,,0.0,,1603.3932757037028,1555.672462703706,1200.0,1514.2051895925952,10800.0,81826.599582,51022.4865367321,43.72858400000007,193.8397689380003,51216.3263056701,4811.706177193422,2,0,0.0,greedy
2025-02-20,,0.0,,1555.672462703706,2277.0700360740734,1200.0,1769.7872497777757,10800.0,84675.453087,53186.7394560038,0.0,0.0,53186.7394560038,9017.732219526759,0,0,0.0,greedy
2025-02-21,,0.0,,2277.0700360740734,2659.410709814814,1200.0,2226.952133333333,10800.0,38737.959946,20799.7845616938,0.0,0.0,20799.7845616938,9589.741136288072,0,0,0.0,greedy
2025-02-22,,0.0,,2659.410709814814,2388.80819774074,1200.0,1903.101981481481,10800.0,36564.911636,19626.5005963472,0.0,0.0,19626.5005963472,5962.916439786007,0,0,0.0,greedy
2025-02-23,,0.0,,2388.80819774074,1817.6684894444465,1200.0,1513.675403703705,10800.0,81681.621921,51365.6926784504,0.0,0.0,51365.6926784504,6892.302527288066,0,0,0.0,greedy
2025-02-24,,0.0,,1817.6684894444465,1855.0092200000008,1200.0,1544.4046181111114,10800.0,81270.227638,50641.0524942264,0.0,0.0,50641.0524942264,9394.949419748977,0,0,0.0,greedy
2025-02-25,,0.0,,1855.0092200000008,1258.9476875185187,1200.0,1200.0,10800.0,78363.08407999999,48487.296501182296,88.10340879999842,352.4413389545971,48839.73784013689,9585.45434779835,4,0,0.0,greedy
2025-02-26,,0.0,,1258.9476875185187,1995.2863292222241,1200.0,1527.6707222222235,10800.0,79095.050449,48908.8609541037,0.0,0.0,48908.8609541037,5592.235319362145,0,0,0.0,greedy
2025-02-27,,0.0,,1995.2863292222241,1969.1671581111143,1200.0,1545.254411111113,10800.0,79624.6761083,49629.73067027723,0.0,0.0,49629.73067027723,8513.567683921407,0,0,0.0,greedy
2025-02-28,,0.0,,1969.1671581111143,2478.2107707037057,1200.0,2043.33201851852,10800.0,37279.319371800004,20019.65241408784,0.0,0.0,20019.65241408784,10364.062079207411,0,0,0.0,greedy
