date,official,terminal_mode,soc_mu,dispatch,mpc_stride,policy,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,none,0.0,greedy,,C_pv7d_q82,6000.0,1200.0,1200.0,54149.36557,32909.86521609,34900.52516766667,94,179691.3758428429,212601.2410589329,0.0,679.3241201388888,799.813790470037,842.9938874999999,1217.1863168434993,False,0,0.0
2025-01-02,False,none,0.0,greedy,,C_pv7d_q82,1200.0,2113.9052227037064,1200.0,129578.2261058,87408.57145691745,0.0,0,0.0,87408.57145691745,32401.461049629637,680.0985113037109,812.1417564709427,656.8274868055555,1091.165788582533,True,0,0.0
2025-01-03,False,none,0.0,greedy,,C_pv7d_q82,2113.9052227037064,9159.669865592592,1200.0,123164.235677,82750.0100060732,0.0,0,0.0,82750.0100060732,68569.41598671195,2452.0224064930553,2691.577949414873,616.3002741666666,1031.882018252115,True,0,0.0
2025-01-04,False,none,0.0,greedy,,C_pv7d_q82,9159.669865592592,1271.812006148148,1200.0,58528.303202,33948.7907587341,16.401673333331438,1,80.95045873665731,34029.74121747076,19431.629774592602,292.13966850423174,377.59098941147664,507.75784893518517,853.4693841196187,True,0,0.0
2025-01-05,False,none,0.0,greedy,,C_pv7d_q82,1271.812006148148,1208.382576,1200.0,65618.495747,37027.586200986,28695.543634699992,70,160987.2336637811,198014.8198647671,0.0,1579.0558389463974,1808.3700696080186,345.7831925694444,561.2443899836187,True,0,0.0
2025-01-06,False,none,0.0,greedy,,C_pv7d_q82,1208.382576,3039.589553333334,1200.0,120542.404514,80797.7477133408,0.0,0,0.0,80797.7477133408,24300.56063798355,844.0507457259115,973.7723507108955,194.22857462962955,321.2956958599051,True,0,0.0
2025-01-07,False,none,0.0,greedy,,C_pv7d_q82,3039.589553333334,1283.1047241111114,1200.0,88112.4940251,54929.97553462485,8381.716548133327,22,54816.50838339108,109746.48391801593,1638.1283625925892,452.83056225043407,579.5192239032208,113.43772684027778,222.97461670456556,True,0,0.0
2025-01-08,False,none,0.0,greedy,,C_pv7d_q82,1283.1047241111114,2942.64484725926,1200.0,121007.664972,81316.4947885563,0.0,0,0.0,81316.4947885563,26002.801517901236,948.6674992919925,1147.0029001312948,161.74727872751322,346.37333456077437,True,0,0.0
2025-01-09,False,none,0.0,greedy,,C_pv7d_q82,2942.64484725926,2630.9486578518527,1200.0,117015.444621,78884.59742290492,0.0,0,0.0,78884.59742290492,22541.743131275725,879.0421070583769,1046.5152808679118,100.89495798578038,220.3874825237436,True,0,0.0
2025-01-10,False,none,0.0,greedy,,C_pv7d_q82,2630.9486578518527,8071.457015666665,1200.0,103813.381302,68248.0945775442,0.0,0,0.0,68248.0945775442,50641.7809410288,2211.3478704269746,2466.826966320209,106.97191586177252,191.2710075852584,True,0,0.0
2025-01-11,False,none,0.0,greedy,,C_pv7d_q82,8071.457015666665,2508.9191186666685,1200.0,61246.566844,36438.461175818404,0.0,0,0.0,36438.461175818404,19763.02775671605,711.0479715966799,870.5954928030909,119.37953725496034,231.64025318844458,True,0,0.0
2025-01-12,False,none,0.0,greedy,,C_pv7d_q82,2508.9191186666685,2999.692877555558,1200.0,110970.282863,73485.339862996,0.0,0,0.0,73485.339862996,15615.53378160495,626.2312609564887,691.6073501816351,80.96272746031747,156.72617469888243,True,0,0.0
2025-01-13,False,none,0.0,greedy,,C_pv7d_q82,2999.692877555558,2065.1627370370384,1200.0,108952.094486,72389.0754310711,0.0,0,0.0,72389.0754310711,17863.452117407414,554.5363604437937,663.8713731638468,197.0879822873677,353.51164255720863,True,0,0.0
2025-01-14,False,none,0.0,greedy,,C_pv7d_q82,2065.1627370370384,1806.8042620000026,1200.0,108100.82120199999,71263.603408678,0.0,0,0.0,71263.603408678,15002.784463827173,491.5191159884987,611.856937094138,140.4203542572751,267.38501046929593,True,0,0.0
2025-01-15,False,none,0.0,greedy,,C_pv7d_q82,1806.8042620000026,2071.1480811111123,1200.0,106139.4143347,69554.38476325621,0.0,0,0.0,69554.38476325621,11546.108046337458,431.9265122200522,507.95074955409075,89.7169174176586,180.73064081435456,True,0,0.0
